Content,Area,MajorPollutant,AQI,ForecastDate,MinorPollutant,MinorPollutantAQI,PublishTime
"1.依今(23)日10時監測結果，中部、雲嘉南空品區及金門為「橘色提醒(對敏感族群不健康)」等級，北部、竹苗、高屏空品區及澎湖為「普通」等級，宜蘭、花東空品區及馬祖為「良好」等級。全國77站中「紅色警示(對所有族群不健康)」0站，「橘色提醒」4站，「普通」36站，「良好」36站，「設備維護」0站。\r2.依氣象局23日10時資料：23日鋒面接近，北部及東部逐漸轉有短暫陣雨，清晨至上午西半部地區因風速較弱易有污染物累積的現象。中部、雲嘉南空品區以及金門地區為「橘色提醒」等級；北部、竹苗、高屏空品區及澎湖為「普通」等級；宜蘭、花東空品區及馬祖為「良好」等級。\r3.24日鋒面通過及颱風外圍環流接近，東北風增強，北部地區降雨洗除作用明顯，雲嘉南、高屏位在尾流區風速較弱，仍須留意污染物累積。竹苗、中部、雲嘉南及高屏空品區為「普通」等級；北部、宜蘭及花東空品區為「良好」等級。\r4.25日颱風持續靠近，東北風仍強且持續在北部及東半部地區帶來降雨，北部地區擴散條件良好；雲嘉南、高屏仍位尾流區，須留意擴散不易及颱風沉降作用使污染物累積。竹苗、中部、雲嘉南及高屏空品區為「普通」等級；北部、宜蘭及花東空品區為「良好」等級。未來一周，23日鋒面前緣，天氣穩定，清晨至上午風速偏弱，有利污染物累積，另須視颱風移動路徑及強度，留意沉降作用使污染累積；24-27日受鋒面通過、東北風增強及颱風外圍環流影響，降雨洗除作用及風速增強有利污染物擴散，西半部空氣品質改善。季節交替期間，南、北方天氣系統皆可能影響臺灣，而空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。",澎湖,細懸浮微粒,60,2018-09-23,,,2018-09-23 10:30
"1.依今(23)日10時監測結果，中部、雲嘉南空品區及金門為「橘色提醒(對敏感族群不健康)」等級，北部、竹苗、高屏空品區及澎湖為「普通」等級，宜蘭、花東空品區及馬祖為「良好」等級。全國77站中「紅色警示(對所有族群不健康)」0站，「橘色提醒」4站，「普通」36站，「良好」36站，「設備維護」0站。\r2.依氣象局23日10時資料：23日鋒面接近，北部及東部逐漸轉有短暫陣雨，清晨至上午西半部地區因風速較弱易有污染物累積的現象。中部、雲嘉南空品區以及金門地區為「橘色提醒」等級；北部、竹苗、高屏空品區及澎湖為「普通」等級；宜蘭、花東空品區及馬祖為「良好」等級。\r3.24日鋒面通過及颱風外圍環流接近，東北風增強，北部地區降雨洗除作用明顯，雲嘉南、高屏位在尾流區風速較弱，仍須留意污染物累積。竹苗、中部、雲嘉南及高屏空品區為「普通」等級；北部、宜蘭及花東空品區為「良好」等級。\r4.25日颱風持續靠近，東北風仍強且持續在北部及東半部地區帶來降雨，北部地區擴散條件良好；雲嘉南、高屏仍位尾流區，須留意擴散不易及颱風沉降作用使污染物累積。竹苗、中部、雲嘉南及高屏空品區為「普通」等級；北部、宜蘭及花東空品區為「良好」等級。未來一周，23日鋒面前緣，天氣穩定，清晨至上午風速偏弱，有利污染物累積，另須視颱風移動路徑及強度，留意沉降作用使污染累積；24-27日受鋒面通過、東北風增強及颱風外圍環流影響，降雨洗除作用及風速增強有利污染物擴散，西半部空氣品質改善。季節交替期間，南、北方天氣系統皆可能影響臺灣，而空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。",金門,細懸浮微粒,110,2018-09-23,臭氧八小時,105,2018-09-23 10:30
"1.依今(23)日10時監測結果，中部、雲嘉南空品區及金門為「橘色提醒(對敏感族群不健康)」等級，北部、竹苗、高屏空品區及澎湖為「普通」等級，宜蘭、花東空品區及馬祖為「良好」等級。全國77站中「紅色警示(對所有族群不健康)」0站，「橘色提醒」4站，「普通」36站，「良好」36站，「設備維護」0站。\r2.依氣象局23日10時資料：23日鋒面接近，北部及東部逐漸轉有短暫陣雨，清晨至上午西半部地區因風速較弱易有污染物累積的現象。中部、雲嘉南空品區以及金門地區為「橘色提醒」等級；北部、竹苗、高屏空品區及澎湖為「普通」等級；宜蘭、花東空品區及馬祖為「良好」等級。\r3.24日鋒面通過及颱風外圍環流接近，東北風增強，北部地區降雨洗除作用明顯，雲嘉南、高屏位在尾流區風速較弱，仍須留意污染物累積。竹苗、中部、雲嘉南及高屏空品區為「普通」等級；北部、宜蘭及花東空品區為「良好」等級。\r4.25日颱風持續靠近，東北風仍強且持續在北部及東半部地區帶來降雨，北部地區擴散條件良好；雲嘉南、高屏仍位尾流區，須留意擴散不易及颱風沉降作用使污染物累積。竹苗、中部、雲嘉南及高屏空品區為「普通」等級；北部、宜蘭及花東空品區為「良好」等級。未來一周，23日鋒面前緣，天氣穩定，清晨至上午風速偏弱，有利污染物累積，另須視颱風移動路徑及強度，留意沉降作用使污染累積；24-27日受鋒面通過、東北風增強及颱風外圍環流影響，降雨洗除作用及風速增強有利污染物擴散，西半部空氣品質改善。季節交替期間，南、北方天氣系統皆可能影響臺灣，而空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。",馬祖,,50,2018-09-23,,,2018-09-23 10:30
"1.依今(23)日10時監測結果，中部、雲嘉南空品區及金門為「橘色提醒(對敏感族群不健康)」等級，北部、竹苗、高屏空品區及澎湖為「普通」等級，宜蘭、花東空品區及馬祖為「良好」等級。全國77站中「紅色警示(對所有族群不健康)」0站，「橘色提醒」4站，「普通」36站，「良好」36站，「設備維護」0站。\r2.依氣象局23日10時資料：23日鋒面接近，北部及東部逐漸轉有短暫陣雨，清晨至上午西半部地區因風速較弱易有污染物累積的現象。中部、雲嘉南空品區以及金門地區為「橘色提醒」等級；北部、竹苗、高屏空品區及澎湖為「普通」等級；宜蘭、花東空品區及馬祖為「良好」等級。\r3.24日鋒面通過及颱風外圍環流接近，東北風增強，北部地區降雨洗除作用明顯，雲嘉南、高屏位在尾流區風速較弱，仍須留意污染物累積。竹苗、中部、雲嘉南及高屏空品區為「普通」等級；北部、宜蘭及花東空品區為「良好」等級。\r4.25日颱風持續靠近，東北風仍強且持續在北部及東半部地區帶來降雨，北部地區擴散條件良好；雲嘉南、高屏仍位尾流區，須留意擴散不易及颱風沉降作用使污染物累積。竹苗、中部、雲嘉南及高屏空品區為「普通」等級；北部、宜蘭及花東空品區為「良好」等級。未來一周，23日鋒面前緣，天氣穩定，清晨至上午風速偏弱，有利污染物累積，另須視颱風移動路徑及強度，留意沉降作用使污染累積；24-27日受鋒面通過、東北風增強及颱風外圍環流影響，降雨洗除作用及風速增強有利污染物擴散，西半部空氣品質改善。季節交替期間，南、北方天氣系統皆可能影響臺灣，而空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。",花東,,45,2018-09-25,,,2018-09-23 10:30
"1.依今(23)日10時監測結果，中部、雲嘉南空品區及金門為「橘色提醒(對敏感族群不健康)」等級，北部、竹苗、高屏空品區及澎湖為「普通」等級，宜蘭、花東空品區及馬祖為「良好」等級。全國77站中「紅色警示(對所有族群不健康)」0站，「橘色提醒」4站，「普通」36站，「良好」36站，「設備維護」0站。\r2.依氣象局23日10時資料：23日鋒面接近，北部及東部逐漸轉有短暫陣雨，清晨至上午西半部地區因風速較弱易有污染物累積的現象。中部、雲嘉南空品區以及金門地區為「橘色提醒」等級；北部、竹苗、高屏空品區及澎湖為「普通」等級；宜蘭、花東空品區及馬祖為「良好」等級。\r3.24日鋒面通過及颱風外圍環流接近，東北風增強，北部地區降雨洗除作用明顯，雲嘉南、高屏位在尾流區風速較弱，仍須留意污染物累積。竹苗、中部、雲嘉南及高屏空品區為「普通」等級；北部、宜蘭及花東空品區為「良好」等級。\r4.25日颱風持續靠近，東北風仍強且持續在北部及東半部地區帶來降雨，北部地區擴散條件良好；雲嘉南、高屏仍位尾流區，須留意擴散不易及颱風沉降作用使污染物累積。竹苗、中部、雲嘉南及高屏空品區為「普通」等級；北部、宜蘭及花東空品區為「良好」等級。未來一周，23日鋒面前緣，天氣穩定，清晨至上午風速偏弱，有利污染物累積，另須視颱風移動路徑及強度，留意沉降作用使污染累積；24-27日受鋒面通過、東北風增強及颱風外圍環流影響，降雨洗除作用及風速增強有利污染物擴散，西半部空氣品質改善。季節交替期間，南、北方天氣系統皆可能影響臺灣，而空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。",花東,,35,2018-09-24,,,2018-09-23 10:30
"1.依今(23)日10時監測結果，中部、雲嘉南空品區及金門為「橘色提醒(對敏感族群不健康)」等級，北部、竹苗、高屏空品區及澎湖為「普通」等級，宜蘭、花東空品區及馬祖為「良好」等級。全國77站中「紅色警示(對所有族群不健康)」0站，「橘色提醒」4站，「普通」36站，「良好」36站，「設備維護」0站。\r2.依氣象局23日10時資料：23日鋒面接近，北部及東部逐漸轉有短暫陣雨，清晨至上午西半部地區因風速較弱易有污染物累積的現象。中部、雲嘉南空品區以及金門地區為「橘色提醒」等級；北部、竹苗、高屏空品區及澎湖為「普通」等級；宜蘭、花東空品區及馬祖為「良好」等級。\r3.24日鋒面通過及颱風外圍環流接近，東北風增強，北部地區降雨洗除作用明顯，雲嘉南、高屏位在尾流區風速較弱，仍須留意污染物累積。竹苗、中部、雲嘉南及高屏空品區為「普通」等級；北部、宜蘭及花東空品區為「良好」等級。\r4.25日颱風持續靠近，東北風仍強且持續在北部及東半部地區帶來降雨，北部地區擴散條件良好；雲嘉南、高屏仍位尾流區，須留意擴散不易及颱風沉降作用使污染物累積。竹苗、中部、雲嘉南及高屏空品區為「普通」等級；北部、宜蘭及花東空品區為「良好」等級。未來一周，23日鋒面前緣，天氣穩定，清晨至上午風速偏弱，有利污染物累積，另須視颱風移動路徑及強度，留意沉降作用使污染累積；24-27日受鋒面通過、東北風增強及颱風外圍環流影響，降雨洗除作用及風速增強有利污染物擴散，西半部空氣品質改善。季節交替期間，南、北方天氣系統皆可能影響臺灣，而空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。",花東,,35,2018-09-23,,,2018-09-23 10:30
"1.依今(23)日10時監測結果，中部、雲嘉南空品區及金門為「橘色提醒(對敏感族群不健康)」等級，北部、竹苗、高屏空品區及澎湖為「普通」等級，宜蘭、花東空品區及馬祖為「良好」等級。全國77站中「紅色警示(對所有族群不健康)」0站，「橘色提醒」4站，「普通」36站，「良好」36站，「設備維護」0站。\r2.依氣象局23日10時資料：23日鋒面接近，北部及東部逐漸轉有短暫陣雨，清晨至上午西半部地區因風速較弱易有污染物累積的現象。中部、雲嘉南空品區以及金門地區為「橘色提醒」等級；北部、竹苗、高屏空品區及澎湖為「普通」等級；宜蘭、花東空品區及馬祖為「良好」等級。\r3.24日鋒面通過及颱風外圍環流接近，東北風增強，北部地區降雨洗除作用明顯，雲嘉南、高屏位在尾流區風速較弱，仍須留意污染物累積。竹苗、中部、雲嘉南及高屏空品區為「普通」等級；北部、宜蘭及花東空品區為「良好」等級。\r4.25日颱風持續靠近，東北風仍強且持續在北部及東半部地區帶來降雨，北部地區擴散條件良好；雲嘉南、高屏仍位尾流區，須留意擴散不易及颱風沉降作用使污染物累積。竹苗、中部、雲嘉南及高屏空品區為「普通」等級；北部、宜蘭及花東空品區為「良好」等級。未來一周，23日鋒面前緣，天氣穩定，清晨至上午風速偏弱，有利污染物累積，另須視颱風移動路徑及強度，留意沉降作用使污染累積；24-27日受鋒面通過、東北風增強及颱風外圍環流影響，降雨洗除作用及風速增強有利污染物擴散，西半部空氣品質改善。季節交替期間，南、北方天氣系統皆可能影響臺灣，而空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。",宜蘭,,45,2018-09-25,,,2018-09-23 10:30
"1.依今(23)日10時監測結果，中部、雲嘉南空品區及金門為「橘色提醒(對敏感族群不健康)」等級，北部、竹苗、高屏空品區及澎湖為「普通」等級，宜蘭、花東空品區及馬祖為「良好」等級。全國77站中「紅色警示(對所有族群不健康)」0站，「橘色提醒」4站，「普通」36站，「良好」36站，「設備維護」0站。\r2.依氣象局23日10時資料：23日鋒面接近，北部及東部逐漸轉有短暫陣雨，清晨至上午西半部地區因風速較弱易有污染物累積的現象。中部、雲嘉南空品區以及金門地區為「橘色提醒」等級；北部、竹苗、高屏空品區及澎湖為「普通」等級；宜蘭、花東空品區及馬祖為「良好」等級。\r3.24日鋒面通過及颱風外圍環流接近，東北風增強，北部地區降雨洗除作用明顯，雲嘉南、高屏位在尾流區風速較弱，仍須留意污染物累積。竹苗、中部、雲嘉南及高屏空品區為「普通」等級；北部、宜蘭及花東空品區為「良好」等級。\r4.25日颱風持續靠近，東北風仍強且持續在北部及東半部地區帶來降雨，北部地區擴散條件良好；雲嘉南、高屏仍位尾流區，須留意擴散不易及颱風沉降作用使污染物累積。竹苗、中部、雲嘉南及高屏空品區為「普通」等級；北部、宜蘭及花東空品區為「良好」等級。未來一周，23日鋒面前緣，天氣穩定，清晨至上午風速偏弱，有利污染物累積，另須視颱風移動路徑及強度，留意沉降作用使污染累積；24-27日受鋒面通過、東北風增強及颱風外圍環流影響，降雨洗除作用及風速增強有利污染物擴散，西半部空氣品質改善。季節交替期間，南、北方天氣系統皆可能影響臺灣，而空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。",宜蘭,,50,2018-09-24,,,2018-09-23 10:30
"1.依今(23)日10時監測結果，中部、雲嘉南空品區及金門為「橘色提醒(對敏感族群不健康)」等級，北部、竹苗、高屏空品區及澎湖為「普通」等級，宜蘭、花東空品區及馬祖為「良好」等級。全國77站中「紅色警示(對所有族群不健康)」0站，「橘色提醒」4站，「普通」36站，「良好」36站，「設備維護」0站。\r2.依氣象局23日10時資料：23日鋒面接近，北部及東部逐漸轉有短暫陣雨，清晨至上午西半部地區因風速較弱易有污染物累積的現象。中部、雲嘉南空品區以及金門地區為「橘色提醒」等級；北部、竹苗、高屏空品區及澎湖為「普通」等級；宜蘭、花東空品區及馬祖為「良好」等級。\r3.24日鋒面通過及颱風外圍環流接近，東北風增強，北部地區降雨洗除作用明顯，雲嘉南、高屏位在尾流區風速較弱，仍須留意污染物累積。竹苗、中部、雲嘉南及高屏空品區為「普通」等級；北部、宜蘭及花東空品區為「良好」等級。\r4.25日颱風持續靠近，東北風仍強且持續在北部及東半部地區帶來降雨，北部地區擴散條件良好；雲嘉南、高屏仍位尾流區，須留意擴散不易及颱風沉降作用使污染物累積。竹苗、中部、雲嘉南及高屏空品區為「普通」等級；北部、宜蘭及花東空品區為「良好」等級。未來一周，23日鋒面前緣，天氣穩定，清晨至上午風速偏弱，有利污染物累積，另須視颱風移動路徑及強度，留意沉降作用使污染累積；24-27日受鋒面通過、東北風增強及颱風外圍環流影響，降雨洗除作用及風速增強有利污染物擴散，西半部空氣品質改善。季節交替期間，南、北方天氣系統皆可能影響臺灣，而空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。",宜蘭,,50,2018-09-23,,,2018-09-23 10:30
"1.依今(23)日10時監測結果，中部、雲嘉南空品區及金門為「橘色提醒(對敏感族群不健康)」等級，北部、竹苗、高屏空品區及澎湖為「普通」等級，宜蘭、花東空品區及馬祖為「良好」等級。全國77站中「紅色警示(對所有族群不健康)」0站，「橘色提醒」4站，「普通」36站，「良好」36站，「設備維護」0站。\r2.依氣象局23日10時資料：23日鋒面接近，北部及東部逐漸轉有短暫陣雨，清晨至上午西半部地區因風速較弱易有污染物累積的現象。中部、雲嘉南空品區以及金門地區為「橘色提醒」等級；北部、竹苗、高屏空品區及澎湖為「普通」等級；宜蘭、花東空品區及馬祖為「良好」等級。\r3.24日鋒面通過及颱風外圍環流接近，東北風增強，北部地區降雨洗除作用明顯，雲嘉南、高屏位在尾流區風速較弱，仍須留意污染物累積。竹苗、中部、雲嘉南及高屏空品區為「普通」等級；北部、宜蘭及花東空品區為「良好」等級。\r4.25日颱風持續靠近，東北風仍強且持續在北部及東半部地區帶來降雨，北部地區擴散條件良好；雲嘉南、高屏仍位尾流區，須留意擴散不易及颱風沉降作用使污染物累積。竹苗、中部、雲嘉南及高屏空品區為「普通」等級；北部、宜蘭及花東空品區為「良好」等級。未來一周，23日鋒面前緣，天氣穩定，清晨至上午風速偏弱，有利污染物累積，另須視颱風移動路徑及強度，留意沉降作用使污染累積；24-27日受鋒面通過、東北風增強及颱風外圍環流影響，降雨洗除作用及風速增強有利污染物擴散，西半部空氣品質改善。季節交替期間，南、北方天氣系統皆可能影響臺灣，而空氣品質受氣象條件影響大，有其不確定性，請隨時留意最新空氣品質資訊。",高屏,細懸浮微粒,100,2018-09-25,,,2018-09-23 10:30
