Content,Area,MajorPollutant,AQI,ForecastDate,MinorPollutant,MinorPollutantAQI,PublishTime
"1.今(22)日受東北季風增強影響，迎風面的北部及東半部地區有局部短暫雨。依09時監測結果，北部、竹苗、中部、宜蘭、花東空品區、澎湖、馬祖及金門為「良好」等級，雲嘉南因沿海風速增強，出現地表揚塵現象影響空氣品質，雲嘉南空品區為「普通」等級，高屏空品區由於位於下風處，空氣品質為「紅色警示(對所有族群不健康)」等級。\r2.依氣象局22日09時資料：22日受鋒面通過及東北季風增強影響，北部以及東半部受降雨洗除作用明顯，北部、竹苗、中部、宜蘭、花東空品區以及金門、馬祖、澎湖地區為「良好」等級；雲嘉南以南因沿海風速增強，局部地區將出現地表揚塵現象影響空氣品質，雲嘉南以及高屏空品區為「橘色提醒」等級。 \r3.23日持續受東北季風影響，北部及東半部地區有局部短暫雨，北部、宜蘭以及花東空品區為「良好」等級；竹苗以及中部空品區為「普通」等級；雲嘉南以南位於下風處，污染物易累積，雲嘉南及高屏空品區為「橘色提醒」等級。\r4.24日東北季風減弱影響，北部、宜蘭及花東空品區受降雨洗除作用為「良好」等級；竹苗空品區為「普通」等級;中部以南位於下風處，污染物易累積，中部、雲嘉南及高屏空品區為「橘色提醒」等級。",澎湖,,50,2018-11-22,,,2018-11-22 10:30
"1.今(22)日受東北季風增強影響，迎風面的北部及東半部地區有局部短暫雨。依09時監測結果，北部、竹苗、中部、宜蘭、花東空品區、澎湖、馬祖及金門為「良好」等級，雲嘉南因沿海風速增強，出現地表揚塵現象影響空氣品質，雲嘉南空品區為「普通」等級，高屏空品區由於位於下風處，空氣品質為「紅色警示(對所有族群不健康)」等級。\r2.依氣象局22日09時資料：22日受鋒面通過及東北季風增強影響，北部以及東半部受降雨洗除作用明顯，北部、竹苗、中部、宜蘭、花東空品區以及金門、馬祖、澎湖地區為「良好」等級；雲嘉南以南因沿海風速增強，局部地區將出現地表揚塵現象影響空氣品質，雲嘉南以及高屏空品區為「橘色提醒」等級。 \r3.23日持續受東北季風影響，北部及東半部地區有局部短暫雨，北部、宜蘭以及花東空品區為「良好」等級；竹苗以及中部空品區為「普通」等級；雲嘉南以南位於下風處，污染物易累積，雲嘉南及高屏空品區為「橘色提醒」等級。\r4.24日東北季風減弱影響，北部、宜蘭及花東空品區受降雨洗除作用為「良好」等級；竹苗空品區為「普通」等級;中部以南位於下風處，污染物易累積，中部、雲嘉南及高屏空品區為「橘色提醒」等級。",金門,,50,2018-11-22,,,2018-11-22 10:30
"1.今(22)日受東北季風增強影響，迎風面的北部及東半部地區有局部短暫雨。依09時監測結果，北部、竹苗、中部、宜蘭、花東空品區、澎湖、馬祖及金門為「良好」等級，雲嘉南因沿海風速增強，出現地表揚塵現象影響空氣品質，雲嘉南空品區為「普通」等級，高屏空品區由於位於下風處，空氣品質為「紅色警示(對所有族群不健康)」等級。\r2.依氣象局22日09時資料：22日受鋒面通過及東北季風增強影響，北部以及東半部受降雨洗除作用明顯，北部、竹苗、中部、宜蘭、花東空品區以及金門、馬祖、澎湖地區為「良好」等級；雲嘉南以南因沿海風速增強，局部地區將出現地表揚塵現象影響空氣品質，雲嘉南以及高屏空品區為「橘色提醒」等級。 \r3.23日持續受東北季風影響，北部及東半部地區有局部短暫雨，北部、宜蘭以及花東空品區為「良好」等級；竹苗以及中部空品區為「普通」等級；雲嘉南以南位於下風處，污染物易累積，雲嘉南及高屏空品區為「橘色提醒」等級。\r4.24日東北季風減弱影響，北部、宜蘭及花東空品區受降雨洗除作用為「良好」等級；竹苗空品區為「普通」等級;中部以南位於下風處，污染物易累積，中部、雲嘉南及高屏空品區為「橘色提醒」等級。",馬祖,,50,2018-11-22,,,2018-11-22 10:30
"1.今(22)日受東北季風增強影響，迎風面的北部及東半部地區有局部短暫雨。依09時監測結果，北部、竹苗、中部、宜蘭、花東空品區、澎湖、馬祖及金門為「良好」等級，雲嘉南因沿海風速增強，出現地表揚塵現象影響空氣品質，雲嘉南空品區為「普通」等級，高屏空品區由於位於下風處，空氣品質為「紅色警示(對所有族群不健康)」等級。\r2.依氣象局22日09時資料：22日受鋒面通過及東北季風增強影響，北部以及東半部受降雨洗除作用明顯，北部、竹苗、中部、宜蘭、花東空品區以及金門、馬祖、澎湖地區為「良好」等級；雲嘉南以南因沿海風速增強，局部地區將出現地表揚塵現象影響空氣品質，雲嘉南以及高屏空品區為「橘色提醒」等級。 \r3.23日持續受東北季風影響，北部及東半部地區有局部短暫雨，北部、宜蘭以及花東空品區為「良好」等級；竹苗以及中部空品區為「普通」等級；雲嘉南以南位於下風處，污染物易累積，雲嘉南及高屏空品區為「橘色提醒」等級。\r4.24日東北季風減弱影響，北部、宜蘭及花東空品區受降雨洗除作用為「良好」等級；竹苗空品區為「普通」等級;中部以南位於下風處，污染物易累積，中部、雲嘉南及高屏空品區為「橘色提醒」等級。",花東,,35,2018-11-24,,,2018-11-22 10:30
"1.今(22)日受東北季風增強影響，迎風面的北部及東半部地區有局部短暫雨。依09時監測結果，北部、竹苗、中部、宜蘭、花東空品區、澎湖、馬祖及金門為「良好」等級，雲嘉南因沿海風速增強，出現地表揚塵現象影響空氣品質，雲嘉南空品區為「普通」等級，高屏空品區由於位於下風處，空氣品質為「紅色警示(對所有族群不健康)」等級。\r2.依氣象局22日09時資料：22日受鋒面通過及東北季風增強影響，北部以及東半部受降雨洗除作用明顯，北部、竹苗、中部、宜蘭、花東空品區以及金門、馬祖、澎湖地區為「良好」等級；雲嘉南以南因沿海風速增強，局部地區將出現地表揚塵現象影響空氣品質，雲嘉南以及高屏空品區為「橘色提醒」等級。 \r3.23日持續受東北季風影響，北部及東半部地區有局部短暫雨，北部、宜蘭以及花東空品區為「良好」等級；竹苗以及中部空品區為「普通」等級；雲嘉南以南位於下風處，污染物易累積，雲嘉南及高屏空品區為「橘色提醒」等級。\r4.24日東北季風減弱影響，北部、宜蘭及花東空品區受降雨洗除作用為「良好」等級；竹苗空品區為「普通」等級;中部以南位於下風處，污染物易累積，中部、雲嘉南及高屏空品區為「橘色提醒」等級。",花東,,50,2018-11-23,,,2018-11-22 10:30
"1.今(22)日受東北季風增強影響，迎風面的北部及東半部地區有局部短暫雨。依09時監測結果，北部、竹苗、中部、宜蘭、花東空品區、澎湖、馬祖及金門為「良好」等級，雲嘉南因沿海風速增強，出現地表揚塵現象影響空氣品質，雲嘉南空品區為「普通」等級，高屏空品區由於位於下風處，空氣品質為「紅色警示(對所有族群不健康)」等級。\r2.依氣象局22日09時資料：22日受鋒面通過及東北季風增強影響，北部以及東半部受降雨洗除作用明顯，北部、竹苗、中部、宜蘭、花東空品區以及金門、馬祖、澎湖地區為「良好」等級；雲嘉南以南因沿海風速增強，局部地區將出現地表揚塵現象影響空氣品質，雲嘉南以及高屏空品區為「橘色提醒」等級。 \r3.23日持續受東北季風影響，北部及東半部地區有局部短暫雨，北部、宜蘭以及花東空品區為「良好」等級；竹苗以及中部空品區為「普通」等級；雲嘉南以南位於下風處，污染物易累積，雲嘉南及高屏空品區為「橘色提醒」等級。\r4.24日東北季風減弱影響，北部、宜蘭及花東空品區受降雨洗除作用為「良好」等級；竹苗空品區為「普通」等級;中部以南位於下風處，污染物易累積，中部、雲嘉南及高屏空品區為「橘色提醒」等級。",花東,,50,2018-11-22,,,2018-11-22 10:30
"1.今(22)日受東北季風增強影響，迎風面的北部及東半部地區有局部短暫雨。依09時監測結果，北部、竹苗、中部、宜蘭、花東空品區、澎湖、馬祖及金門為「良好」等級，雲嘉南因沿海風速增強，出現地表揚塵現象影響空氣品質，雲嘉南空品區為「普通」等級，高屏空品區由於位於下風處，空氣品質為「紅色警示(對所有族群不健康)」等級。\r2.依氣象局22日09時資料：22日受鋒面通過及東北季風增強影響，北部以及東半部受降雨洗除作用明顯，北部、竹苗、中部、宜蘭、花東空品區以及金門、馬祖、澎湖地區為「良好」等級；雲嘉南以南因沿海風速增強，局部地區將出現地表揚塵現象影響空氣品質，雲嘉南以及高屏空品區為「橘色提醒」等級。 \r3.23日持續受東北季風影響，北部及東半部地區有局部短暫雨，北部、宜蘭以及花東空品區為「良好」等級；竹苗以及中部空品區為「普通」等級；雲嘉南以南位於下風處，污染物易累積，雲嘉南及高屏空品區為「橘色提醒」等級。\r4.24日東北季風減弱影響，北部、宜蘭及花東空品區受降雨洗除作用為「良好」等級；竹苗空品區為「普通」等級;中部以南位於下風處，污染物易累積，中部、雲嘉南及高屏空品區為「橘色提醒」等級。",宜蘭,,50,2018-11-24,,,2018-11-22 10:30
"1.今(22)日受東北季風增強影響，迎風面的北部及東半部地區有局部短暫雨。依09時監測結果，北部、竹苗、中部、宜蘭、花東空品區、澎湖、馬祖及金門為「良好」等級，雲嘉南因沿海風速增強，出現地表揚塵現象影響空氣品質，雲嘉南空品區為「普通」等級，高屏空品區由於位於下風處，空氣品質為「紅色警示(對所有族群不健康)」等級。\r2.依氣象局22日09時資料：22日受鋒面通過及東北季風增強影響，北部以及東半部受降雨洗除作用明顯，北部、竹苗、中部、宜蘭、花東空品區以及金門、馬祖、澎湖地區為「良好」等級；雲嘉南以南因沿海風速增強，局部地區將出現地表揚塵現象影響空氣品質，雲嘉南以及高屏空品區為「橘色提醒」等級。 \r3.23日持續受東北季風影響，北部及東半部地區有局部短暫雨，北部、宜蘭以及花東空品區為「良好」等級；竹苗以及中部空品區為「普通」等級；雲嘉南以南位於下風處，污染物易累積，雲嘉南及高屏空品區為「橘色提醒」等級。\r4.24日東北季風減弱影響，北部、宜蘭及花東空品區受降雨洗除作用為「良好」等級；竹苗空品區為「普通」等級;中部以南位於下風處，污染物易累積，中部、雲嘉南及高屏空品區為「橘色提醒」等級。",宜蘭,,50,2018-11-23,,,2018-11-22 10:30
"1.今(22)日受東北季風增強影響，迎風面的北部及東半部地區有局部短暫雨。依09時監測結果，北部、竹苗、中部、宜蘭、花東空品區、澎湖、馬祖及金門為「良好」等級，雲嘉南因沿海風速增強，出現地表揚塵現象影響空氣品質，雲嘉南空品區為「普通」等級，高屏空品區由於位於下風處，空氣品質為「紅色警示(對所有族群不健康)」等級。\r2.依氣象局22日09時資料：22日受鋒面通過及東北季風增強影響，北部以及東半部受降雨洗除作用明顯，北部、竹苗、中部、宜蘭、花東空品區以及金門、馬祖、澎湖地區為「良好」等級；雲嘉南以南因沿海風速增強，局部地區將出現地表揚塵現象影響空氣品質，雲嘉南以及高屏空品區為「橘色提醒」等級。 \r3.23日持續受東北季風影響，北部及東半部地區有局部短暫雨，北部、宜蘭以及花東空品區為「良好」等級；竹苗以及中部空品區為「普通」等級；雲嘉南以南位於下風處，污染物易累積，雲嘉南及高屏空品區為「橘色提醒」等級。\r4.24日東北季風減弱影響，北部、宜蘭及花東空品區受降雨洗除作用為「良好」等級；竹苗空品區為「普通」等級;中部以南位於下風處，污染物易累積，中部、雲嘉南及高屏空品區為「橘色提醒」等級。",宜蘭,,50,2018-11-22,,,2018-11-22 10:30
"1.今(22)日受東北季風增強影響，迎風面的北部及東半部地區有局部短暫雨。依09時監測結果，北部、竹苗、中部、宜蘭、花東空品區、澎湖、馬祖及金門為「良好」等級，雲嘉南因沿海風速增強，出現地表揚塵現象影響空氣品質，雲嘉南空品區為「普通」等級，高屏空品區由於位於下風處，空氣品質為「紅色警示(對所有族群不健康)」等級。\r2.依氣象局22日09時資料：22日受鋒面通過及東北季風增強影響，北部以及東半部受降雨洗除作用明顯，北部、竹苗、中部、宜蘭、花東空品區以及金門、馬祖、澎湖地區為「良好」等級；雲嘉南以南因沿海風速增強，局部地區將出現地表揚塵現象影響空氣品質，雲嘉南以及高屏空品區為「橘色提醒」等級。 \r3.23日持續受東北季風影響，北部及東半部地區有局部短暫雨，北部、宜蘭以及花東空品區為「良好」等級；竹苗以及中部空品區為「普通」等級；雲嘉南以南位於下風處，污染物易累積，雲嘉南及高屏空品區為「橘色提醒」等級。\r4.24日東北季風減弱影響，北部、宜蘭及花東空品區受降雨洗除作用為「良好」等級；竹苗空品區為「普通」等級;中部以南位於下風處，污染物易累積，中部、雲嘉南及高屏空品區為「橘色提醒」等級。",高屏,細懸浮微粒,150,2018-11-24,臭氧八小時,115,2018-11-22 10:30
