SiteName,MonitorDate,Concentration,ItemUnit
馬公,2018-05-23,13,μg/m3
金門,2018-05-23,19,μg/m3
馬祖,2018-05-23,16,μg/m3
埔里,2018-05-23,,μg/m3
宜蘭,2018-05-23,18,μg/m3
陽明,2018-05-23,8,μg/m3
花蓮,2018-05-23,16,μg/m3
臺東,2018-05-23,13,μg/m3
恆春,2018-05-23,13,μg/m3
屏東,2018-05-23,17,μg/m3
前金,2018-05-23,13,μg/m3
左營,2018-05-23,,μg/m3
林園,2018-05-23,15,μg/m3
美濃,2018-05-23,16,μg/m3
臺南,2018-05-23,14,μg/m3
新營,2018-05-23,17,μg/m3
嘉義,2018-05-23,19,μg/m3
臺西,2018-05-23,,μg/m3
朴子,2018-05-23,17,μg/m3
斗六,2018-05-23,22,μg/m3
南投,2018-05-23,23,μg/m3
二林,2018-05-23,,μg/m3
彰化,2018-05-23,23,μg/m3
忠明,2018-05-23,22,μg/m3
豐原,2018-05-23,24,μg/m3
三義,2018-05-23,22,μg/m3
苗栗,2018-05-23,19,μg/m3
新竹,2018-05-23,18,μg/m3
竹東,2018-05-23,19,μg/m3
平鎮,2018-05-23,18,μg/m3
桃園,2018-05-23,19,μg/m3
大同,2018-05-23,,μg/m3
萬華,2018-05-23,19,μg/m3
士林,2018-05-23,15,μg/m3
板橋,2018-05-23,20,μg/m3
汐止,2018-05-23,19,μg/m3
基隆,2018-05-23,17,μg/m3
馬公,2018-05-20,9,μg/m3
金門,2018-05-20,17,μg/m3
馬祖,2018-05-20,21,μg/m3
埔里,2018-05-20,,μg/m3
宜蘭,2018-05-20,13,μg/m3
陽明,2018-05-20,17,μg/m3
花蓮,2018-05-20,9,μg/m3
臺東,2018-05-20,8,μg/m3
恆春,2018-05-20,6,μg/m3
屏東,2018-05-20,13,μg/m3
前金,2018-05-20,9,μg/m3
左營,2018-05-20,,μg/m3
林園,2018-05-20,9,μg/m3
美濃,2018-05-20,12,μg/m3
臺南,2018-05-20,10,μg/m3
新營,2018-05-20,12,μg/m3
嘉義,2018-05-20,13,μg/m3
臺西,2018-05-20,,μg/m3
朴子,2018-05-20,12,μg/m3
斗六,2018-05-20,16,μg/m3
南投,2018-05-20,18,μg/m3
二林,2018-05-20,,μg/m3
彰化,2018-05-20,14,μg/m3
忠明,2018-05-20,14,μg/m3
豐原,2018-05-20,18,μg/m3
三義,2018-05-20,16,μg/m3
苗栗,2018-05-20,14,μg/m3
新竹,2018-05-20,13,μg/m3
竹東,2018-05-20,20,μg/m3
平鎮,2018-05-20,15,μg/m3
桃園,2018-05-20,15,μg/m3
大同,2018-05-20,,μg/m3
萬華,2018-05-20,18,μg/m3
士林,2018-05-20,17,μg/m3
板橋,2018-05-20,19,μg/m3
汐止,2018-05-20,21,μg/m3
基隆,2018-05-20,20,μg/m3
馬公,2018-05-17,,μg/m3
金門,2018-05-17,15,μg/m3
馬祖,2018-05-17,13,μg/m3
埔里,2018-05-17,12,μg/m3
宜蘭,2018-05-17,10,μg/m3
陽明,2018-05-17,19,μg/m3
花蓮,2018-05-17,6,μg/m3
臺東,2018-05-17,7,μg/m3
恆春,2018-05-17,5,μg/m3
屏東,2018-05-17,9,μg/m3
前金,2018-05-17,7,μg/m3
左營,2018-05-17,7,μg/m3
林園,2018-05-17,7,μg/m3
美濃,2018-05-17,9,μg/m3
臺南,2018-05-17,8,μg/m3
新營,2018-05-17,8,μg/m3
嘉義,2018-05-17,8,μg/m3
臺西,2018-05-17,8,μg/m3
朴子,2018-05-17,8,μg/m3
斗六,2018-05-17,10,μg/m3
南投,2018-05-17,11,μg/m3
二林,2018-05-17,11,μg/m3
彰化,2018-05-17,10,μg/m3
忠明,2018-05-17,11,μg/m3
豐原,2018-05-17,13,μg/m3
三義,2018-05-17,12,μg/m3
苗栗,2018-05-17,10,μg/m3
新竹,2018-05-17,,μg/m3
竹東,2018-05-17,13,μg/m3
平鎮,2018-05-17,14,μg/m3
桃園,2018-05-17,17,μg/m3
大同,2018-05-17,18,μg/m3
萬華,2018-05-17,20,μg/m3
士林,2018-05-17,16,μg/m3
板橋,2018-05-17,21,μg/m3
汐止,2018-05-17,21,μg/m3
基隆,2018-05-17,16,μg/m3
馬公,2018-05-14,9,μg/m3
金門,2018-05-14,18,μg/m3
馬祖,2018-05-14,26,μg/m3
埔里,2018-05-14,21,μg/m3
宜蘭,2018-05-14,21,μg/m3
陽明,2018-05-14,25,μg/m3
花蓮,2018-05-14,11,μg/m3
臺東,2018-05-14,9,μg/m3
恆春,2018-05-14,9,μg/m3
屏東,2018-05-14,17,μg/m3
前金,2018-05-14,15,μg/m3
左營,2018-05-14,14,μg/m3
林園,2018-05-14,16,μg/m3
美濃,2018-05-14,17,μg/m3
臺南,2018-05-14,15,μg/m3
新營,2018-05-14,16,μg/m3
嘉義,2018-05-14,16,μg/m3
