"lineid","car","time","location","longitude","latitude","cityid","cityname"
"234072","AAC-211","2018/08/09 16:09:23","新北市永和區光復街31-1號","121.51654","25.0178966666667","6500400","永和區"
"243009","297-R6","2018/08/09 16:05:59","新北市泰山區黎明路25號","121.421985","25.0610183333333","6501600","泰山區"
"243012","646-TV","2018/08/09 15:45:31","新北市泰山區黎明路25號","121.422088333333","25.0606966666667","6501600","泰山區"
"231046","107-UY","2018/08/09 16:09:38","新北市新店區灣潭路2-4號","121.536578333333","24.9504166666667","6500600","新店區"
"231021","108-UY","2018/08/09 16:09:30","新北市新店區新烏路一段85巷6-6號","121.549716666667","24.94281","6500600","新店區"
"231018","278-BY","2018/08/09 16:09:23","新北市新店區中正路694巷15號","121.535348333333","24.9908683333333","6500600","新店區"
"231037","4716-K9","2018/08/09 16:09:35","新北市新店區薏仁坑路自強巷6號","121.49665","24.9585233333333","6500600","新店區"
"231035","719-UM","2018/08/09 16:09:27","新北市新店區柴埕路47-2號","121.514743333333","24.9656416666667","6500600","新店區"
"231024","AKT-0513","2018/08/09 15:41:33","新北市新店區安華路28-1號","121.519361666667","24.9605516666667","6500600","新店區"
"241011","013-R5","2018/08/09 16:09:31","新北市三重區正義北路378號","121.49345","25.0715083333333","6500200","三重區"
"241028","022-UY","2018/08/09 16:09:29","新北市三重區正義南路111號","121.49821","25.0585566666667","6500200","三重區"
"241008","059-VK","2018/08/09 16:09:30","新北市三重區忠孝路二段124號","121.483055","25.068925","6500200","三重區"
"241022","060-VK","2018/08/09 16:09:35","新北市三重區重陽路二段72號","121.487338333333","25.064055","6500200","三重區"
"241031","061-VK","2018/08/09 16:09:35","新北市三重區重新路四段121號","121.484605","25.0520133333333","6500200","三重區"
"241015","062-VK","2018/08/09 16:09:43","新北市三重區福德南路59-4號","121.502886666667","25.06063","6500200","三重區"
"241017","063-VK","2018/08/09 16:09:19","新北市三重區大同北路148巷45號","121.490931666667","25.0648316666667","6500200","三重區"
"241024","065-VK","2018/08/09 16:09:26","新北市三重區中正北路145巷7弄15號","121.485071666667","25.067635","6500200","三重區"
"241026","066-VK","2018/08/09 16:09:27","新北市三重區正義南路15-2號","121.497816666667","25.0615266666667","6500200","三重區"
"241002","090-VK","2018/08/09 16:09:20","新北市三重區仁義街91號","121.49989","25.0792266666667","6500200","三重區"
"241003","091-VK","2018/08/09 16:09:28","新北市三重區仁義街220巷16號","121.494838333333","25.0838616666667","6500200","三重區"
"241005","265-UM","2018/08/09 16:09:32","新北市三重區溪尾街305號","121.487485","25.08376","6500200","三重區"
"241016","266-UM","2018/08/09 16:09:27","新北市三重區大同北路181號","121.492685","25.0652766666667","6500200","三重區"
"241009","267-UM","2018/08/09 16:09:33","新北市三重區忠孝路二段102-2號","121.483213333333","25.069105","6500200","三重區"
"241018","268-UM","2018/08/09 16:09:27","新北市三重區大仁街5號","121.491655","25.0637866666667","6500200","三重區"
"241013","270-UM","2018/08/09 16:09:41","新北市三重區正義北路251號","121.495768333333","25.0696083333333","6500200","三重區"
"241025","271-UM","2018/08/09 16:09:27","新北市三重區忠孝路三段40巷10號","121.482055","25.06633","6500200","三重區"
"241007","398-BY","2018/08/09 16:09:30","新北市三重區慈愛街8號","121.484468333333","25.0784516666667","6500200","三重區"
"241004","413-TH","2018/08/09 16:09:24","新北市三重區五華街74號","121.493356666667","25.081915","6500200","三重區"
"241020","478-VK","2018/08/09 16:09:28","新北市三重區後竹圍街284號","121.483306666667","25.0710966666667","6500200","三重區"
"241030","480-VK","2018/08/09 16:09:33","新北市三重區重新路四段121號","121.484898333333","25.0524083333333","6500200","三重區"
"241014","543-UM","2018/08/09 16:09:33","新北市三重區福德南路65巷2號","121.502581666667","25.0600916666667","6500200","三重區"
"241023","545-UM","2018/08/09 16:09:35","新北市三重區忠孝路二段80號","121.484205","25.0697083333333","6500200","三重區"
"241001","547-UM","2018/08/09 16:09:41","新北市三重區自強路四段77號","121.490698333333","25.0788916666667","6500200","三重區"
"241006","AAD-863","2018/08/09 16:09:35","新北市三重區力行路二段138號","121.482546666667","25.07589","6500200","三重區"
"241012","941-UM","2018/08/09 16:09:39","新北市三重區文化北路132巷49號","121.497378333333","25.0665083333333","6500200","三重區"
"241029","942-UM","2018/08/09 16:09:36","新北市三重區大同南路182號","121.496746666667","25.0570366666667","6500200","三重區"
"241033","AAC-255","2018/08/09 16:09:24","新北市三重區中興南街76號","121.47118","25.0435516666667","6500200","三重區"
"235026","800-TS","2018/08/09 16:09:33","新北市中和區永和路191巷21號","121.491413333333","25.00645","6500300","中和區"
"247013","546-UM","2018/08/09 16:09:32","新北市五股區中興路三段163號","121.449183333333","25.08077","6501400","蘆洲區"
"247012","402-BY","2018/08/09 16:09:32","新北市蘆洲區集賢路411號","121.479973333333","25.0809883333333","6501400","蘆洲區"
"247006","336-TH","2018/08/09 16:09:31","新北市五股區中興路三段163號","121.44927","25.0806133333333","6501400","蘆洲區"
"224007","275-VK","2018/08/09 16:09:36","新北市瑞芳區粗坑口路86巷14號","121.76113","25.0992066666667","6501200","瑞芳區"
"224005","271-BY","2018/08/09 16:09:38","新北市瑞芳區傑魚坑路8號","121.794975","25.1108166666667","6501200","瑞芳區"
"227004","642-TC","2018/08/09 16:09:24","新北市雙溪區上林里內平林16號","121.834718333333","25.032205","6502500","雙溪區"
