"ID","AVAILABLECAR"
"010001","6"
"010002","-9"
"010003","-9"
"010004","3"
"010008","-9"
"010009","27"
"010010","36"
"010011","21"
"010013","183"
"010014","39"
"010015","2"
"010016","1"
"010018","42"
"010020","9"
"010021","27"
"010022","16"
"010024","20"
"010028","-9"
"010029","15"
"010031","295"
"010033","10"
"010034","-9"
"010036","1136"
"010037","-9"
"010038","15"
"010038","15"
"010040","-9"
"010041","-9"
"010042","28"
"010042","28"
"010042","28"
"010043","7"
"010044","2"
"010045","36"
"010046","21"
"010050","-9"
"010051","-9"
"010052","-9"
"010053","-9"
"010056","-9"
"010059","-9"
"010064","-9"
"010065","-9"
"010068","-9"
"010069","-9"
"010070","-9"
"010072","-9"
"010079","-9"
"010082","-9"
"010085","21"
"010086","-9"
"010090","-9"
"010091","-9"
"010092","-9"
"010093","-9"
"010096","-9"
"010097","-9"
"010102","-9"
"010103","15"
"010104","24"
"010108","4"
"010109","-9"
"010110","34"
"010112","-9"
"010114","-9"
"010115","-9"
"010116","-9"
"010117","-9"
"010120","-9"
"010121","-9"
"010122","-9"
"010123","224"
"010124","-9"
"010125","8"
"010126","-9"
"010127","-9"
"010129","-9"
"010130","-9"
"010131","44"
"010132","-9"
"010134","-9"
"010135","-9"
"010136","-9"
"010137","-9"
"010139","10"
"010140","12"
"010142","-9"
"010143","-9"
"010144","-9"
"010145","-9"
"010146","58"
"010147","-9"
"010148","-9"
"010149","43"
"010150","-9"
"010151","-9"
"010152","91"
"010153","-9"
"010154","7"
"010155","-9"
"010156","119"
"010157","48"
"010159","-9"
"010160","-9"
"010161","-9"
"010163","-9"
"010164","-9"
"010165","-9"
"010166","-9"
"010167","-9"
"010168","-9"
"010169","-9"
"010170","-9"
"010171","-9"
"010172","-9"
"010173","-9"
"010174","86"
"010175","43"
"010176","-9"
"010177","-9"
"010178","-9"
"010179","-9"
"010180","-9"
"010181","67"
"010182","-9"
"010183","-9"
"010184","-9"
"010185","-9"
"010186","-9"
"010187","-9"
"010188","-9"
"010189","-9"
"010190","-9"
"010191","-9"
"010192","-9"
"010193","-9"
"010194","-9"
"010195","-9"
"010196","-9"
"010197","-9"
"010198","-9"
"010199","-9"
"010200","-9"
"010201","-9"
"010202","-9"
"010203","-9"
"010204","-9"
"010205","-9"
"010206","-9"
"010207","-9"
"020001","38"
"020002","38"
"020003","-9"
"020004","15"
"020005","5"
"020006","0"
"020007","47"
"020007","47"
"020008","37"
"020009","55"
"020010","-9"
"020011","10"
"020014","37"
"020016","85"
"020017","-9"
"020018","-9"
"020019","-9"
"020020","11"
"020021","-9"
"020023","-9"
"020024","-9"
"020025","-9"
"020026","-9"
"020027","-9"
"020029","-9"
"020034","4"
"020035","-9"
"020037","-9"
"020038","24"
"020039","10"
"020044","-9"
